trial	group	subject	repetition	x	y	random	triedToEat	ate
Travel	Control	1	0	-0.73333335	-0.3333333	false	false	false
Travel	Control	1	0	-0.69260624956511	-0.346658106149581	false	false	false
Travel	Control	1	0	-0.647175855828096	-0.367540534005302	false	false	false
Travel	Control	1	0	-0.60159896715025	-0.388100462390095	false	false	false
Travel	Control	1	0	-0.555757089109397	-0.408061667585024	false	false	false
Travel	Control	1	0	-0.509620122040741	-0.427330895741206	false	false	false
Travel	Control	1	0	-0.463133294086023	-0.445739788340034	false	false	false
Travel	Control	1	0	-0.41632400698289	-0.463311357962215	false	false	false
Travel	Control	1	0	-0.369132950849591	-0.47982988353126	false	true	true
Travel	Control	1	0	-0.321605987219521	-0.495354817387615	false	false	false
Travel	Control	1	0	-0.273682893632135	-0.509607510989571	false	false	false
Travel	Control	1	0	-0.225388597826591	-0.522544584509904	false	false	false
Travel	Control	1	0	-0.176745055430466	-0.534098758815177	false	false	false
Travel	Control	1	0	-0.127717133369713	-0.543887759560719	false	false	false
Travel	Control	1	0	-0.0783534438105719	-0.551803193436225	false	false	false
Travel	Control	1	0	-0.0287123124993386	-0.55772902807143	false	false	false
Travel	Control	1	0	0.021163592477313	-0.561112189254413	false	false	false
Travel	Control	1	0	0.0711483821624553	-0.561695939353403	false	false	false
Travel	Control	1	0	0.121080357726729	-0.559341505304703	false	false	false
Travel	Control	1	0	0.17065608058251	-0.552992287779685	false	false	false
Travel	Control	1	0	0.219569828188789	-0.54274438252448	false	false	false
Travel	Control	1	0	0.26725026100591	-0.527818426970683	false	false	false
Travel	Control	1	0	0.313041448507151	-0.507832672793261	false	false	false
Travel	Control	1	0	0.356286740185911	-0.482835553297804	false	true	true
Travel	Control	1	0	0.396042902420581	-0.45257718201202	false	false	false
Travel	Control	1	0	0.432531668191637	-0.418438135210136	false	false	false
Travel	Control	1	0	0.464976973796002	-0.380429356328548	false	false	false
Travel	Control	1	0	0.494002687010483	-0.339749613778661	false	false	false
Travel	Control	1	0	0.519548298960854	-0.296793592660607	false	false	false
Travel	Control	1	0	0.541204347115005	-0.251746868283115	false	false	false
Travel	Control	1	0	0.559521886333935	-0.205245693096633	false	false	false
Travel	Control	1	0	0.574477540275502	-0.157550490241812	false	false	false
Travel	Control	1	0	0.585396750373835	-0.10877285482415	false	false	false
Travel	Control	1	0	0.592795034499041	-0.0593447598512908	false	false	false
Travel	Control	1	0	0.596581255257369	-0.00950813652543814	false	false	false
Travel	Control	1	0	0.596228535066007	0.0404684177247326	false	false	false
Travel	Control	1	0	0.591624407486045	0.090231012393706	false	false	false
Travel	Control	1	0	0.582924864101309	0.139439301557659	false	false	false
Travel	Control	1	0	0.569815440805721	0.187661354470922	false	true	true
Travel	Control	1	0	0.551800829864262	0.234275629804035	false	false	false
Travel	Control	1	0	0.529820639778491	0.279152402417499	false	false	false
Travel	Control	1	0	0.50421189510608	0.322072104829178	false	false	false
Travel	Control	1	0	0.474811260859594	0.362490926032248	false	false	false
Travel	Control	1	0	0.442390399547528	0.400526164770652	false	false	false
Travel	Control	1	0	0.407279640717512	0.436096336716454	false	false	false
Travel	Control	1	0	0.369522610242904	0.46884525337033	false	false	false
Travel	Control	1	0	0.329295505197677	0.49850853120413	false	false	false
Travel	Control	1	0	0.287032254517135	0.525185761654733	false	false	false
Travel	Control	1	0	0.242846717517637	0.54854421714027	false	false	false
Travel	Control	1	0	0.196738779912725	0.567829499971725	false	false	false
Travel	Control	1	0	0.149209294676316	0.583263368067028	false	false	false
Travel	Control	1	0	0.100438952651535	0.594125481542531	false	false	false
Travel	Control	1	0	0.05078098450507	0.599648830675636	false	false	false
Travel	Control	1	0	0.000818711818435233	0.600015271188325	false	true	true
Travel	Control	1	0	-0.0487448470902661	0.593729137790516	false	false	false
Travel	Control	1	0	-0.0973670224327506	0.58222857320958	false	false	false
Travel	Control	1	0	-0.144442440255084	0.56548154459183	false	false	false
Travel	Control	1	0	-0.189809052256952	0.544517029395649	false	false	false
Travel	Control	1	0	-0.233418574618959	0.520096971268614	false	false	false
Travel	Control	1	0	-0.275038669305138	0.49240996955547	false	false	false
Travel	Control	1	0	-0.315019939294018	0.462403595009362	false	false	false
Travel	Control	1	0	-0.353335254638373	0.430293401408849	false	false	false
Travel	Control	1	0	-0.390004210495547	0.396311107548025	false	false	false
Travel	Control	1	0	-0.425318810873587	0.360922777255289	false	false	false
Travel	Control	1	0	-0.459300863527813	0.324251296711149	false	false	false
Travel	Control	1	0	-0.491949436639273	0.286386071975329	false	false	false
Travel	Control	1	0	-0.523516698651896	0.247614567858534	false	false	false
Travel	Control	1	0	-0.553970839421555	0.2079624899964	false	false	false
Travel	Control	1	0	-0.583381793577018	0.167529602858187	false	true	true
Travel	Control	1	0	-0.611860945127632	0.126435195911431	false	false	false
Travel	Control	1	0	-0.639376119175397	0.0846883307883	false	false	false
Travel	Control	1	0	-0.665997555587778	0.0423663329810401	false	false	false
Travel	Control	1	0	-0.691749779427763	-0.000490302067330615	false	false	false
Travel	Control	1	0	-0.71663764779531	-0.043854940868204	false	false	false
Travel	Control	1	0	-0.740737126815954	-0.0876633484187375	false	false	false
Travel	Control	1	0	-0.73333335	-0.06666666	false	false	false
